n_qubits,dim_hilbert,segmento,entropia,pureza,conc_espectral,frec_dominante,estado,varianza_ratio,max_min_ratio
2,4,0,1.999921,0.250027,0.999973,0,estado estable,1.000000,1.000000
2,4,1,1.999944,0.250019,0.999981,0,estado estable,1.000000,1.000000
2,4,2,1.999942,0.250020,0.999980,0,estado estable,1.000000,1.000000
2,4,3,1.999960,0.250014,0.999986,0,estado estable,1.000000,1.000000
2,4,4,1.999957,0.250015,0.999985,0,estado estable,1.000000,1.000000
2,4,5,1.999971,0.250010,0.999990,0,estado estable,1.000000,1.000000
2,4,6,1.999967,0.250012,0.999988,0,estado estable,1.000000,1.000000
2,4,7,1.999977,0.250008,0.999992,0,estado estable,1.000000,1.000000
2,4,8,1.999977,0.250008,0.999992,0,estado estable,1.000000,1.000000
2,4,9,1.999985,0.250005,0.999995,0,estado estable,1.000000,1.000000
3,8,0,2.999593,0.125070,0.999859,0,estado estable,1.000000,1.000000
3,8,1,2.999720,0.125049,0.999903,0,estado estable,1.000000,1.000000
3,8,2,2.999816,0.125032,0.999936,0,estado estable,1.000000,1.000000
3,8,3,2.999889,0.125019,0.999961,0,estado estable,1.000000,1.000000
3,8,4,2.999941,0.125010,0.999980,0,estado estable,1.000000,1.000000
3,8,5,2.999976,0.125004,0.999992,0,estado estable,1.000000,1.000000
3,8,6,2.999995,0.125001,0.999998,0,estado estable,1.000000,1.000000
3,8,7,2.999997,0.125001,0.999999,0,estado estable,1.000000,1.000000
3,8,8,2.999980,0.125004,0.999993,0,estado estable,1.000000,1.000000
3,8,9,2.999942,0.125010,0.999980,0,estado estable,1.000000,1.000000
4,16,0,3.998543,0.062626,0.999495,0,estado estable,1.000000,1.000000
4,16,1,3.999399,0.062552,0.999792,0,estado estable,1.000000,1.000000
4,16,2,3.999851,0.062513,0.999948,0,estado estable,1.000000,1.000000
4,16,3,3.999996,0.062500,0.999999,0,estado estable,1.000000,1.000000
4,16,4,3.999859,0.062512,0.999951,0,estado estable,1.000000,1.000000
4,16,5,3.999405,0.062551,0.999794,0,estado estable,1.000000,1.000000
4,16,6,3.998557,0.062625,0.999499,0,estado estable,1.000000,1.000000
4,16,7,3.997133,0.062748,0.999005,0,estado estable,1.000000,1.000000
4,16,8,3.994747,0.062954,0.998177,0,estado estable,1.000000,1.000000
4,16,9,3.990484,0.063322,0.996695,0,estado estable,1.000000,1.000000
5,32,0,4.996055,0.031420,0.998628,0,estado estable,1.000000,1.000000
5,32,1,4.999815,0.031258,0.999936,0,estado estable,1.000000,1.000000
5,32,2,4.998697,0.031306,0.999547,0,estado estable,1.000000,1.000000
5,32,3,4.991893,0.031599,0.997178,0,estado estable,1.000000,1.000000
5,32,4,4.972011,0.032451,0.990233,0,estado estable,1.000000,1.000000
5,32,5,4.896858,0.035630,0.963605,0,estado estable,1.000000,1.000000
5,32,6,4.246547,0.061694,0.663962,0,estado estable,1.000000,1.000000
5,32,7,4.514419,0.050828,0.813735,0,estado estable,1.000000,1.000000
5,32,8,4.925363,0.034427,0.973756,0,estado estable,1.000000,1.000000
5,32,9,4.979716,0.032121,0.992927,0,estado estable,1.000000,1.000000
6,64,0,5.994111,0.015749,0.997932,0,estado estable,1.000000,1.000000
6,64,1,5.984661,0.015948,0.994605,0,estado estable,1.000000,1.000000
6,64,2,5.808054,0.019582,0.930574,0,estado estable,1.000000,1.000000
6,64,3,5.364710,0.028666,0.298769,1,eco del pasado,1.000000,1.000000
6,64,4,5.855515,0.018612,0.948071,0,estado estable,1.000000,1.000000
6,64,5,5.991391,0.015807,0.996976,0,estado estable,1.000000,1.000000
6,64,6,5.989316,0.015851,0.996247,0,estado estable,1.000000,1.000000
6,64,7,5.852378,0.018685,0.947010,0,estado estable,1.000000,1.000000
6,64,8,5.334815,0.029766,0.290477,1,eco del pasado,1.000000,1.000000
6,64,9,5.807507,0.019583,0.930266,0,estado estable,1.000000,1.000000
7,128,0,6.988080,0.007937,0.995781,0,estado estable,1.000000,1.000000
7,128,1,6.198369,0.016514,0.382360,0,estado estable,1.000000,1.000000
7,128,2,6.833453,0.009405,0.937242,0,estado estable,1.000000,1.000000
7,128,3,6.822830,0.009516,0.933388,0,estado estable,1.000000,1.000000
7,128,4,6.224341,0.016213,0.356751,0,estado estable,1.000000,1.000000
7,128,5,6.988763,0.007929,0.996017,0,estado estable,1.000000,1.000000
7,128,6,6.334045,0.014179,0.695285,0,estado estable,1.000000,1.000000
7,128,7,6.617816,0.011409,0.848821,0,estado estable,1.000000,1.000000
7,128,8,6.966855,0.008144,0.988003,0,estado estable,1.000000,1.000000
7,128,9,6.257399,0.016085,0.251283,1,eco del pasado,1.000000,1.000000
