segmento,n_qubits,dim_hilbert,strain_mean,strain_std,escala_energia,paso,tiempo,fidelidad,entropia_shannon,pureza,concentracion_espectral,frecuencia_dominante,estado_medido
0,8,256,-2.376745e-18,1.647880e-18,4.024626e-18,0,0.000000e+00,1.000000,7.497975,0.006013,0.675350,0,estado estable
0,8,256,-2.376745e-18,1.647880e-18,4.024626e-18,1,1.242352e+17,0.154296,7.497975,0.006013,0.019262,142,sincronizacion de fases
0,8,256,-2.376745e-18,1.647880e-18,4.024626e-18,2,2.484703e+17,0.134064,7.497975,0.006013,0.026144,188,rama secundaria
0,8,256,-2.376745e-18,1.647880e-18,4.024626e-18,3,3.727055e+17,0.051830,7.497975,0.006013,0.027591,226,recuerdo recurrente
0,8,256,-2.376745e-18,1.647880e-18,4.024626e-18,4,4.969406e+17,0.024770,7.497975,0.006013,0.021456,242,recuerdo recurrente
0,8,256,-2.376745e-18,1.647880e-18,4.024626e-18,5,6.211758e+17,0.063163,7.497975,0.006013,0.021639,211,bifurcacion logica
0,8,256,-2.376745e-18,1.647880e-18,4.024626e-18,6,7.454109e+17,0.085434,7.497975,0.006013,0.029724,214,paradoja estable
0,8,256,-2.376745e-18,1.647880e-18,4.024626e-18,7,8.696461e+17,0.105695,7.497975,0.006013,0.018307,224,estado estable
0,8,256,-2.376745e-18,1.647880e-18,4.024626e-18,8,9.938813e+17,0.043977,7.497975,0.006013,0.026491,223,recurrencia completa
0,8,256,-2.376745e-18,1.647880e-18,4.024626e-18,9,1.118116e+18,0.034862,7.497975,0.006013,0.026768,121,evento repetido
0,8,256,-2.376745e-18,1.647880e-18,4.024626e-18,10,1.242352e+18,0.046581,7.497975,0.006013,0.018923,74,interferencia de fase
0,8,256,-2.376745e-18,1.647880e-18,4.024626e-18,11,1.366587e+18,0.055193,7.497975,0.006013,0.021849,66,recuerdo recurrente
0,8,256,-2.376745e-18,1.647880e-18,4.024626e-18,12,1.490822e+18,0.021566,7.497975,0.006013,0.024622,74,interferencia de fase
0,8,256,-2.376745e-18,1.647880e-18,4.024626e-18,13,1.615057e+18,0.038005,7.497975,0.006013,0.021018,74,interferencia de fase
0,8,256,-2.376745e-18,1.647880e-18,4.024626e-18,14,1.739292e+18,0.077676,7.497975,0.006013,0.017151,122,interferencia de fase
0,8,256,-2.376745e-18,1.647880e-18,4.024626e-18,15,1.863527e+18,0.077122,7.497975,0.006013,0.024775,105,evento repetido
0,8,256,-2.376745e-18,1.647880e-18,4.024626e-18,16,1.987763e+18,0.088088,7.497975,0.006013,0.024590,43,reconstruccion simbolica
1,8,256,2.854825e-18,7.510639e-19,3.605889e-18,0,0.000000e+00,1.000000,7.828033,0.004731,0.935266,0,estado estable
1,8,256,2.854825e-18,7.510639e-19,3.605889e-18,1,1.386621e+17,0.039894,7.828033,0.004731,0.024532,233,evento repetido
1,8,256,2.854825e-18,7.510639e-19,3.605889e-18,2,2.773241e+17,0.045470,7.828033,0.004731,0.025020,164,linea alternativa
1,8,256,2.854825e-18,7.510639e-19,3.605889e-18,3,4.159862e+17,0.033805,7.828033,0.004731,0.022351,30,sincronizacion de fases
1,8,256,2.854825e-18,7.510639e-19,3.605889e-18,4,5.546483e+17,0.049291,7.828033,0.004731,0.026986,47,recurrencia completa
1,8,256,2.854825e-18,7.510639e-19,3.605889e-18,5,6.933104e+17,0.073328,7.828033,0.004731,0.019002,123,reconstruccion simbolica
1,8,256,2.854825e-18,7.510639e-19,3.605889e-18,6,8.319724e+17,0.036711,7.828033,0.004731,0.017665,22,paradoja estable
1,8,256,2.854825e-18,7.510639e-19,3.605889e-18,7,9.706345e+17,0.111422,7.828033,0.004731,0.025200,160,estado estable
1,8,256,2.854825e-18,7.510639e-19,3.605889e-18,8,1.109297e+18,0.075772,7.828033,0.004731,0.017608,82,recuerdo recurrente
1,8,256,2.854825e-18,7.510639e-19,3.605889e-18,9,1.247959e+18,0.008287,7.828033,0.004731,0.022958,224,estado estable
1,8,256,2.854825e-18,7.510639e-19,3.605889e-18,10,1.386621e+18,0.096725,7.828033,0.004731,0.021552,182,paradoja estable
1,8,256,2.854825e-18,7.510639e-19,3.605889e-18,11,1.525283e+18,0.066093,7.828033,0.004731,0.031539,110,sincronizacion de fases
1,8,256,2.854825e-18,7.510639e-19,3.605889e-18,12,1.663945e+18,0.038704,7.828033,0.004731,0.027865,29,frontera de informacion
1,8,256,2.854825e-18,7.510639e-19,3.605889e-18,13,1.802607e+18,0.037039,7.828033,0.004731,0.022653,172,rama secundaria
1,8,256,2.854825e-18,7.510639e-19,3.605889e-18,14,1.941269e+18,0.020102,7.828033,0.004731,0.022415,212,linea alternativa
1,8,256,2.854825e-18,7.510639e-19,3.605889e-18,15,2.079931e+18,0.030401,7.828033,0.004731,0.030288,49,eco del pasado
1,8,256,2.854825e-18,7.510639e-19,3.605889e-18,16,2.218593e+18,0.095029,7.828033,0.004731,0.023081,219,reconstruccion simbolica
2,8,256,-2.084515e-18,1.475573e-18,3.560088e-18,0,0.000000e+00,1.000000,7.506308,0.005982,0.666185,0,estado estable
2,8,256,-2.084515e-18,1.475573e-18,3.560088e-18,1,1.404460e+17,0.036264,7.506308,0.005982,0.031377,202,interferencia de fase
2,8,256,-2.084515e-18,1.475573e-18,3.560088e-18,2,2.808919e+17,0.093808,7.506308,0.005982,0.023489,189,frontera de informacion
2,8,256,-2.084515e-18,1.475573e-18,3.560088e-18,3,4.213379e+17,0.140920,7.506308,0.005982,0.019054,71,convergencia de ciclos
2,8,256,-2.084515e-18,1.475573e-18,3.560088e-18,4,5.617839e+17,0.019505,7.506308,0.005982,0.029317,87,convergencia de ciclos
2,8,256,-2.084515e-18,1.475573e-18,3.560088e-18,5,7.022298e+17,0.020149,7.506308,0.005982,0.021471,71,convergencia de ciclos
2,8,256,-2.084515e-18,1.475573e-18,3.560088e-18,6,8.426758e+17,0.046912,7.506308,0.005982,0.031212,47,recurrencia completa
2,8,256,-2.084515e-18,1.475573e-18,3.560088e-18,7,9.831218e+17,0.076646,7.506308,0.005982,0.022283,149,salto de indice
2,8,256,-2.084515e-18,1.475573e-18,3.560088e-18,8,1.123568e+18,0.015755,7.506308,0.005982,0.021081,160,estado estable
2,8,256,-2.084515e-18,1.475573e-18,3.560088e-18,9,1.264014e+18,0.059821,7.506308,0.005982,0.031715,187,reconstruccion simbolica
2,8,256,-2.084515e-18,1.475573e-18,3.560088e-18,10,1.404460e+18,0.021363,7.506308,0.005982,0.018646,157,frontera de informacion
2,8,256,-2.084515e-18,1.475573e-18,3.560088e-18,11,1.544906e+18,0.138628,7.506308,0.005982,0.018180,255,recurrencia completa
2,8,256,-2.084515e-18,1.475573e-18,3.560088e-18,12,1.685352e+18,0.130191,7.506308,0.005982,0.014620,149,salto de indice
2,8,256,-2.084515e-18,1.475573e-18,3.560088e-18,13,1.825798e+18,0.120875,7.506308,0.005982,0.026078,238,sincronizacion de fases
2,8,256,-2.084515e-18,1.475573e-18,3.560088e-18,14,1.966244e+18,0.055279,7.506308,0.005982,0.019722,118,paradoja estable
2,8,256,-2.084515e-18,1.475573e-18,3.560088e-18,15,2.106690e+18,0.059266,7.506308,0.005982,0.027933,185,evento repetido
2,8,256,-2.084515e-18,1.475573e-18,3.560088e-18,16,2.247135e+18,0.052396,7.506308,0.005982,0.019349,228,linea alternativa
3,8,256,2.349799e-19,1.989649e-18,2.224629e-18,0,0.000000e+00,1.000000,7.479375,0.006344,0.329279,1,eco del pasado
3,8,256,2.349799e-19,1.989649e-18,2.224629e-18,1,2.247566e+17,0.054952,7.479375,0.006344,0.022517,247,convergencia de ciclos
3,8,256,2.349799e-19,1.989649e-18,2.224629e-18,2,4.495131e+17,0.078614,7.479375,0.006344,0.018074,45,frontera de informacion
3,8,256,2.349799e-19,1.989649e-18,2.224629e-18,3,6.742697e+17,0.058324,7.479375,0.006344,0.035815,195,bifurcacion logica
3,8,256,2.349799e-19,1.989649e-18,2.224629e-18,4,8.990262e+17,0.060861,7.479375,0.006344,0.020539,201,evento repetido
3,8,256,2.349799e-19,1.989649e-18,2.224629e-18,5,1.123783e+18,0.051324,7.479375,0.006344,0.022547,87,convergencia de ciclos
3,8,256,2.349799e-19,1.989649e-18,2.224629e-18,6,1.348539e+18,0.105656,7.479375,0.006344,0.022396,202,interferencia de fase
3,8,256,2.349799e-19,1.989649e-18,2.224629e-18,7,1.573296e+18,0.061143,7.479375,0.006344,0.016736,162,recuerdo recurrente
3,8,256,2.349799e-19,1.989649e-18,2.224629e-18,8,1.798052e+18,0.084292,7.479375,0.006344,0.042164,194,recuerdo recurrente
3,8,256,2.349799e-19,1.989649e-18,2.224629e-18,9,2.022809e+18,0.020519,7.479375,0.006344,0.021857,48,estado estable
3,8,256,2.349799e-19,1.989649e-18,2.224629e-18,10,2.247566e+18,0.015763,7.479375,0.006344,0.020464,206,sincronizacion de fases
